title,plus_code,latitude,longitude
Ikiru Aikido @ Genbu Dojo,6P58VM8R+GX,-6.133639,106.692379
Arunima Yoga studio Citra Garden II Ext,6P58VM8V+QV,-6.133066,106.694647
CLUB SEHAT IZUL 2001,6P58VPFP+42,-6.127182,106.73511
Sanggar Panca 5,6P58VPF8+93,-6.126604,106.715134
Dojang Hapkido MIRACLE Jakarta - Walet Indah PIK,6P58VQC7+JH,-6.128442,106.7639
KARANG STAR TTC,6P58VQQG+C3,-6.111419,106.775156
Little Jack Gym & Preschool Baywalk,6P58VQRH+QW,-6.108031,106.779785
Libra gym,6P58VQRG+WR,-6.107711,106.777066
ReFIT Epitome PIK,6P58VPQR+J9,-6.110962,106.740875
Muscle Art,6P58WP32+CG,-6.096445,106.701303
Golf Solutions PIK,6P58WP7X+WG,-6.085158,106.748828
